,단맛,신맛,바디감,청량감,cluster,pca_x,pca_y
118,2.0,2.0,3.0,1.0,3,-0.08690675819717615,-1.0370292947481083
119,1.0,1.0,2.0,0.0,1,-1.9149257830639497,0.46125756552426994
120,2.0,3.0,3.0,1.0,0,0.31066017048519046,1.569848988213901
121,3.0,3.0,3.0,2.0,2,1.5737678055713156,-0.2444136597972229
122,3.0,3.0,4.0,1.0,2,0.9850300069895018,-0.5005733129846957
123,3.0,1.0,2.0,1.0,3,-0.07868013109216952,-1.8599898024000734
124,3.0,2.0,2.0,2.0,2,1.008856415790667,-0.5603894475359688
125,3.0,3.0,3.0,3.0,2,2.1315121408125353,-0.09676176001935567
126,3.0,1.0,3.0,1.0,3,-0.10967359443276405,-1.9684975558096787
127,3.0,1.0,3.0,1.0,3,-0.10967359443276405,-1.9684975558096787
128,3.0,1.0,3.0,1.0,3,-0.10967359443276405,-1.9684975558096787
129,1.0,3.0,2.0,2.0,0,0.3262599521813491,2.332993361314593
130,1.0,3.0,2.0,2.0,0,0.3262599521813491,2.332993361314593
131,1.0,3.0,3.0,2.0,0,0.2952664888407546,2.2244856079049877
132,5.0,2.0,2.0,2.0,2,2.1551324495619775,-1.574358887362407
133,2.0,3.0,3.0,3.0,0,1.4261488409676288,1.8651527877696357
134,2.0,2.0,2.0,1.0,3,-0.05591329485658159,-0.9285215413385028
135,2.0,1.0,2.0,1.0,3,-0.6518181479778243,-1.353005082486854
136,3.0,2.0,3.0,3.0,2,1.535607287691292,-0.5212453011677071
137,1.0,1.0,4.0,1.0,3,-1.2869430915446685,-1.063035869392846
138,1.0,3.0,3.0,2.0,0,0.2952664888407546,2.2244856079049877
139,2.0,4.0,0.0,2.0,0,1.5572897488694362,2.467507689368936
140,3.0,1.0,3.0,1.0,3,-0.10967359443276405,-1.9684975558096787
141,2.0,1.0,4.0,2.0,3,-0.15606073941779425,-1.4223686895281977
142,2.0,1.0,3.0,0.0,3,-1.2405559465596383,-1.6091647356743264
143,1.0,4.0,2.0,1.0,0,0.36442047006137285,2.609825002685077
144,4.0,3.0,4.0,2.0,2,2.115912359116376,-0.8599061331200475
145,5.0,3.0,4.0,2.0,2,2.6890503760020312,-1.3668908530332664
146,5.0,3.0,5.0,2.0,2,2.658056912661437,-1.4753986064428721
147,5.0,3.0,4.0,2.0,2,2.6890503760020312,-1.3668908530332664
148,3.0,3.0,2.0,2.0,2,1.6047612689119102,-0.13590590638761746
149,1.0,3.0,3.0,1.0,0,-0.2624778464004647,2.0768337081271206
150,2.0,1.0,2.0,2.0,3,-0.09407381273660521,-1.2053531827089872
151,2.0,4.0,3.0,2.0,0,1.4643093588476526,2.1419844291401198
152,1.0,5.0,3.0,1.0,0,0.9293318598420209,2.925800790423822
153,2.0,2.0,3.0,1.0,3,-0.08690675819717615,-1.0370292947481083
154,3.0,3.0,3.0,0.0,3,0.5243917765685026,-1.2671823732908432
155,3.0,1.0,2.0,4.0,2,1.5284402331518625,-0.6895691891285858
156,3.0,3.0,2.0,3.0,2,2.162505604153129,0.011745993390249778
157,3.0,3.0,3.0,3.0,2,2.1315121408125353,-0.09676176001935567
158,0.0,0.0,0.0,0.0,1,-3.021981726389658,0.7607742511083486
159,0.0,0.0,0.0,0.0,1,-3.021981726389658,0.7607742511083486
160,4.0,2.0,2.0,3.0,2,2.1397387679175415,-0.9197222676713207
161,3.0,3.0,3.0,2.0,2,1.5737678055713156,-0.2444136597972229
162,2.0,2.0,3.0,1.0,3,-0.08690675819717615,-1.0370292947481083
163,4.0,4.0,4.0,2.0,2,2.711817212237619,-0.4354225919716962
